,player_id,player_name,slot_position,player_position,points,projected_points,pro_team,year,week,owner,fantasy_name,opponent
0,3117251,Christian McCaffrey,RB,RB,13.7,18.26,CAR,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
1,4241389,CeeDee Lamb,WR,WR,3.9,14.32,DAL,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
2,4240021,Cam Akers,RB,RB,0.0,11.41,LAR,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
3,4361370,Chris Olave,BE,WR,7.6,8.05,NO,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
4,3045138,Mike Williams,WR,WR,2.0,11.98,LAC,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
5,3917315,Kyler Murray,QB,QB,20.62,20.96,ARI,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
6,3121023,Dallas Goedert,TE,TE,7.5,8.3,PHI,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
7,2576434,Melvin Gordon III,BE,RB,6.2,8.33,DEN,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
8,15880,Robert Woods,RB/WR/TE,WR,1.8,9.49,TEN,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
9,4430191,Skyy Moore,BE,WR,3.5,4.5,KC,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
10,-16002,Bills D/ST,D/ST,D/ST,18.0,5.97,BUF,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
11,3916430,Nyheim Hines,BE,RB,8.4,6.8,IND,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
12,4240657,Michael Carter,BE,RB,13.5,11.43,NYJ,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
13,4372485,Rondale Moore,BE,WR,0.0,0.0,ARI,2022,1,Kyle Samos,Kyler had A little Lamb,Tyler Simons
0,15847,Travis Kelce,TE,TE,23.1,11.73,KC,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
1,3116593,Dalvin Cook,RB,RB,12.3,15.42,MIN,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
2,3043078,Derrick Henry,RB,RB,8.2,17.52,TEN,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
3,3925347,Damien Harris,RB/WR/TE,RB,6.8,10.45,NE,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
4,4036133,T.J. Hockenson,BE,TE,5.8,8.3,DET,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
5,2577417,Dak Prescott,QB,QB,4.46,19.06,DAL,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
6,4240600,Kadarius Toney,WR,WR,2.3,9.9,NYG,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
7,-16006,Cowboys D/ST,BE,D/ST,5.0,4.78,DAL,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
8,2576623,DeVante Parker,BE,WR,1.4,7.86,NE,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
9,-16015,Dolphins D/ST,D/ST,D/ST,20.0,7.38,MIA,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
10,4241474,Brian Robinson,IR,RB,0.0,0.0,WSH,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
11,4035004,Mecole Hardman,WR,WR,9.1,8.29,KC,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
12,3916566,K.J. Osborn,BE,WR,2.9,5.5,MIN,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
13,13983,A.J. Green,BE,WR,2.3,8.62,ARI,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
14,3126246,Dontrell Hilliard,BE,RB,20.4,4.28,TEN,2022,1,Tyler Simons,Harris Ranch,Kyle Samos
0,4361579,Javonte Williams,RB,RB,14.3,13.94,DEN,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
1,3128720,Nick Chubb,RB,RB,15.8,13.42,CLE,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
2,3040151,George Kittle,BE,TE,0.0,0.0,SF,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
3,3915416,DJ Moore,WR,WR,6.5,12.26,CAR,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
4,4372016,Jaylen Waddle,WR,WR,15.7,10.99,MIA,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
5,4241985,J.K. Dobbins,IR,RB,0.0,0.0,BAL,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
6,4374302,Amon-Ra St. Brown,RB/WR/TE,WR,16.4,10.7,DET,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
7,15807,Cordarrelle Patterson,BE,RB,22.1,9.59,ATL,2022,1,Michael Sandor,Winged Dragon of Amon-Ra,Jon Samos
